Date,Close,High,Low,Open,SMA_20,SMA_50,SMA_200,StdDev_20,Upper,Lower,RSI,EMA_12,EMA_26,MACD,Signal,MACD_Histogram
2023-03-14,11428.150390625,11467.01953125,11284.9296875,11357.73046875,11549.44208984375,11381.4096484375,11401.398173828125,237.04993488626639,12023.541959616283,11075.342220071216,48.4221190468396,11435.037894658868,11485.118587579003,-50.080692920135334,-1.5958793715073778,-48.484813548627955
2023-03-15,11434.0498046875,11447.900390625,11238.4404296875,11291.169921875,11523.137060546875,11400.76103515625,11399.865170898438,217.45607430357217,11958.049209154018,11088.224911939731,48.594129485354486,11434.885880817119,11481.335714772225,-46.44983395510644,-10.566670288227192,-35.88316366687925
2023-03-16,11717.2802734375,11733.7998046875,11365.490234375,11384.8701171875,11505.47158203125,11427.36703125,11397.795922851563,182.122196605213,11869.715975241676,11141.227188820825,56.1543371219374,11478.331171989485,11498.81308948817,-20.481917498686016,-12.549719730318955,-7.932197768367061
2023-03-17,11630.509765625,11773.1103515625,11562.6298828125,11696.33984375,11494.20556640625,11450.80203125,11395.5415234375,165.52093282151156,11825.247432049273,11163.163700763227,53.55571187717254,11501.743263318025,11508.56839883164,-6.825135513614441,-11.404802886978054,4.579667373363613
2023-03-20,11675.5400390625,11695.5498046875,11550.6904296875,11614.3896484375,11488.619091796874,11478.20802734375,11393.946923828125,156.76296796057053,11802.145027718016,11175.093155875733,54.726613631712105,11528.481228817176,11520.93666847837,7.5445603388052405,-7.614930241821395,15.159490580626635
2023-03-21,11860.1103515625,11879.16015625,11724.91015625,11764.7900390625,11507.009619140625,11504.02443359375,11391.662973632812,177.42988427864623,11861.869387697918,11152.149850583331,59.26026661803334,11579.501093854919,11546.060645003121,33.440448851797555,0.5961455769023942,32.84430327489516
2023-03-22,11669.9599609375,12013.990234375,11666.849609375,11857.5,11515.1541015625,11524.710625,11389.94912109375,181.132703780399,11877.4195091233,11152.888694001702,53.33463461504579,11593.417842636854,11555.238372109372,38.17947052748241,8.112810567018398,30.06665996046401
2023-03-23,11787.400390625,11962.6904296875,11684.51953125,11811.3203125,11525.0041015625,11545.60603515625,11388.579272460938,190.5515069320967,11906.107115426692,11143.901087698307,56.24472568354947,11623.261311558108,11572.435558666084,50.82575289202396,16.65539903201951,34.17035386000445
2023-03-24,11823.9599609375,11826.23046875,11670.669921875,11747.6201171875,11546.455078125,11563.4518359375,11386.822919921875,199.09569482921967,11944.64646778344,11148.26368846656,57.140759731185355,11654.138026847246,11591.066995871373,63.07103097587242,25.938525420790093,37.132505555082325
2023-03-27,11768.83984375,11903.2099609375,11739.0498046875,11868.5400390625,11561.548046875,11578.806640625,11385.235771484375,204.13174726967608,11969.811541414352,11153.284552335646,55.301984887874724,11671.7844602169,11604.235354973494,67.5491052434063,34.260641385313335,33.28846385809297
